Date,Rain
19-09-2014,617
20-09-2014,593
21-09-2014,569
22-09-2014,575
23-09-2014,565
24-09-2014,555
25-09-2014,531
26-09-2014,507
27-09-2014,497
28-09-2014,480
29-09-2014,456
30-09-2014,433
01-10-2014,410
02-10-2014,387
03-10-2014,365
04-10-2014,344
05-10-2014,323
06-10-2014,302
07-10-2014,285
08-10-2014,270
09-10-2014,251
10-10-2014,232
11-10-2014,213
12-10-2014,196
13-10-2014,179
14-10-2014,162
15-10-2014,148
16-10-2014,134
17-10-2014,122
18-10-2014,122
19-10-2014,185
20-10-2014,208
21-10-2014,225
22-10-2014,223
23-10-2014,220
24-10-2014,234
25-10-2014,249
26-10-2014,262
27-10-2014,273
28-10-2014,279
29-10-2014,281
30-10-2014,281
31-10-2014,280
01-11-2014,286
02-11-2014,281
03-11-2014,277
04-11-2014,273
05-11-2014,270
06-11-2014,267
07-11-2014,275
08-11-2014,277
09-11-2014,276
10-11-2014,274
11-11-2014,271
12-11-2014,267
13-11-2014,334
14-11-2014,373
15-11-2014,392
16-11-2014,400
17-11-2014,406
18-11-2014,406
19-11-2014,400
20-11-2014,391
21-11-2014,380
22-11-2014,372
23-11-2014,362
24-11-2014,354
25-11-2014,345
26-11-2014,336
27-11-2014,326
28-11-2014,317
29-11-2014,306
30-11-2014,294
01-12-2014,280
02-12-2014,267
03-12-2014,255
04-12-2014,241
05-12-2014,225
06-12-2014,212
07-12-2014,200
08-12-2014,189
09-12-2014,178
10-12-2014,176
11-12-2014,182
12-12-2014,187
13-12-2014,196
14-12-2014,298
15-12-2014,332
16-12-2014,342
17-12-2014,354
18-12-2014,365
19-12-2014,374
20-12-2014,384
21-12-2014,391
22-12-2014,393
23-12-2014,399
24-12-2014,405
25-12-2014,413
26-12-2014,422
27-12-2014,431
28-12-2014,436
29-12-2014,445
30-12-2014,473
31-12-2014,485
01-01-2015,487
02-01-2015,481
03-01-2015,476
04-01-2015,470
05-01-2015,460
06-01-2015,449
07-01-2015,438
08-01-2015,427
09-01-2015,415
10-01-2015,402
11-01-2015,389
12-01-2015,374
13-01-2015,360
14-01-2015,347
15-01-2015,334
