Date,Rain
16-11-2011,2298
17-11-2011,2287
18-11-2011,2304
19-11-2011,2298
20-11-2011,2282
21-11-2011,2265
22-11-2011,2260
23-11-2011,2252
24-11-2011,2252
25-11-2011,2293
26-11-2011,2356
27-11-2011,2539
28-11-2011,2530
29-11-2011,2449
30-11-2011,2469
01-12-2011,2484
02-12-2011,2498
03-12-2011,2530
04-12-2011,2553
05-12-2011,2571
06-12-2011,2586
07-12-2011,2598
08-12-2011,2609
09-12-2011,2618
10-12-2011,2627
11-12-2011,2633
12-12-2011,2639
13-12-2011,2645
14-12-2011,2648
15-12-2011,2645
16-12-2011,2666
17-12-2011,2669
18-12-2011,2666
19-12-2011,2666
20-12-2011,2666
21-12-2011,2666
22-12-2011,2666
23-12-2011,2663
24-12-2011,2660
25-12-2011,2657
26-12-2011,2654
27-12-2011,2648
28-12-2011,2645
29-12-2011,2642
30-12-2011,2669
31-12-2011,2770
01-01-2012,2839
02-01-2012,2928
03-01-2012,2982
04-01-2012,3015
05-01-2012,3045
06-01-2012,3058
07-01-2012,3069
08-01-2012,3081
09-01-2012,3090
10-01-2012,3093
11-01-2012,3095
12-01-2012,3098
13-01-2012,3098
14-01-2012,3098
15-01-2012,3098
16-01-2012,3098
17-01-2012,3098
18-01-2012,3098
19-01-2012,3095
20-01-2012,3095
21-01-2012,3093
22-01-2012,3090
23-01-2012,3090
24-01-2012,3087
25-01-2012,3085
26-01-2012,3081
27-01-2012,3077
28-01-2012,3073
29-01-2012,3064
30-01-2012,3058
31-01-2012,3054
01-02-2012,3048
02-02-2012,3041
03-02-2012,3038
04-02-2012,3031
05-02-2012,3025
06-02-2012,3018
07-02-2012,3012
08-02-2012,3005
09-02-2012,2999
10-02-2012,2992
11-02-2012,2986
12-02-2012,2979
13-02-2012,2973
14-02-2012,2966
15-02-2012,2963
16-02-2012,2957
17-02-2012,2953
18-02-2012,2947
19-02-2012,2940
20-02-2012,2934
21-02-2012,2928
22-02-2012,2921
23-02-2012,2915
24-02-2012,2908
25-02-2012,2902
26-02-2012,2896
27-02-2012,2889
28-02-2012,2880
29-02-2012,2870
01-03-2012,2858
02-03-2012,2845
03-03-2012,2832
04-03-2012,2820
05-03-2012,2807
06-03-2012,2798
07-03-2012,2789
08-03-2012,2779
09-03-2012,2770
10-03-2012,2761
11-03-2012,2752
12-03-2012,2742
13-03-2012,2733
14-03-2012,2724
15-03-2012,2715
16-03-2012,2706
17-03-2012,2696
18-03-2012,2687
19-03-2012,2678
20-03-2012,2669
21-03-2012,2660
22-03-2012,2651
23-03-2012,2645
24-03-2012,2636
25-03-2012,2630
26-03-2012,2621
27-03-2012,2615
28-03-2012,2606
29-03-2012,2600
30-03-2012,2592
31-03-2012,2586
01-04-2012,2577
02-04-2012,2571
03-04-2012,2562
04-04-2012,2556
05-04-2012,2547
06-04-2012,2542
07-04-2012,2533
08-04-2012,2527
09-04-2012,2521
10-04-2012,2513
11-04-2012,2507
12-04-2012,2501
13-04-2012,2495
14-04-2012,2489
15-04-2012,2481
16-04-2012,2475
17-04-2012,2467
18-04-2012,2458
19-04-2012,2452
20-04-2012,2444
21-04-2012,2438
22-04-2012,2429
23-04-2012,2421
24-04-2012,2412
25-04-2012,2401
26-04-2012,2390
27-04-2012,2379
28-04-2012,2367
29-04-2012,2356
30-04-2012,2356
01-05-2012,2348
02-05-2012,2337
03-05-2012,2326
04-05-2012,2317
05-05-2012,2306
06-05-2012,2295
07-05-2012,2285
08-05-2012,2274
09-05-2012,2263
10-05-2012,2252
11-05-2012,2244
12-05-2012,2233
13-05-2012,2225
14-05-2012,2217
15-05-2012,2209
16-05-2012,2198
17-05-2012,2190
18-05-2012,2190
19-05-2012,2182
20-05-2012,2174
21-05-2012,2166
22-05-2012,2158
23-05-2012,2150
24-05-2012,2142
25-05-2012,2134
26-05-2012,2127
27-05-2012,2119
28-05-2012,2111
29-05-2012,2103
30-05-2012,2095
31-05-2012,2087
01-06-2012,2080
02-06-2012,2072
03-06-2012,2064
04-06-2012,2056
05-06-2012,2049
06-06-2012,2041
07-06-2012,2036
08-06-2012,2031
09-06-2012,2023
10-06-2012,2016
11-06-2012,2008
12-06-2012,2000
13-06-2012,1993
14-06-2012,1988
15-06-2012,1990
16-06-2012,1995
17-06-2012,1998
18-06-2012,1985
19-06-2012,1975
20-06-2012,1950
21-06-2012,1931
22-06-2012,1906
23-06-2012,1882
24-06-2012,1857
25-06-2012,1833
26-06-2012,1810
27-06-2012,1788
28-06-2012,1767
29-06-2012,1742
30-06-2012,1721
01-07-2012,1705
02-07-2012,1675
03-07-2012,1635
04-07-2012,1595
05-07-2012,1557
06-07-2012,1518
07-07-2012,1481
08-07-2012,1444
09-07-2012,1408
10-07-2012,1371
11-07-2012,1497
12-07-2012,1469
13-07-2012,1430
14-07-2012,1396
15-07-2012,1424
16-07-2012,1418
17-07-2012,1385
18-07-2012,1373
19-07-2012,1342
20-07-2012,1310
21-07-2012,1279
22-07-2012,1248
23-07-2012,1216
